"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","thresh"
"ENSG00000155252",602.906339817868,0.191316735381221,0.0907145354094419,2.10899757704439,0.0349447907750498,0.342924499235082,FALSE
"ENSG00000155254",363.718986292094,0.279375824809284,0.265789770091415,1.05111579242947,0.293205411748008,0.727257804693102,FALSE
"ENSG00000155256",2055.47294665597,0.0659921004009757,0.0539909034515003,1.22228183235081,0.22160106713298,0.6658125124706,FALSE
"ENSG00000155265",11.3065477664865,-0.537790054773909,0.288690838491221,-1.86285805806845,0.0624822390905211,0.4239363918333,FALSE
"ENSG00000155269",1.64742555554415,-0.152202623218064,0.458379000338654,-0.332045366619359,0.739855002870996,0.940035337768711,FALSE
"ENSG00000155275",501.829520424341,-0.0360274824465711,0.064055740293597,-0.562439560942401,0.573816571501392,0.882232138093178,FALSE
"ENSG00000155287",2566.12181360671,0.0177942373239275,0.0794221283506077,0.224046341913366,0.822721244025551,0.961532655855094,FALSE
"ENSG00000155304",11376.3232574787,0.190418108767248,0.110820600621135,1.71825552018289,0.0857500186303099,0.474502976300671,FALSE
"ENSG00000155307",2000.34924061715,0.610853651543495,0.244569382302903,2.49767017355813,0.0125012446988061,0.209408487167292,FALSE
"ENSG00000155313",1427.43238932506,-0.0561126415989724,0.119671295077762,-0.468889733018352,0.639148455369363,0.908557143440046,FALSE
"ENSG00000155324",492.778996071209,0.514184204458088,0.323222911449913,1.59080370309011,0.111653759322953,0.51926479513822,FALSE
"ENSG00000155329",595.474458305328,0.130498270563204,0.0828714695847348,1.57470684684518,0.115324126682222,0.524514196858979,FALSE
"ENSG00000155330",242.580804612842,0.21361807989759,0.136141372958876,1.56909009550034,0.116626947304128,0.526582834635706,FALSE
"ENSG00000155363",1245.65176273126,0.0682367601158809,0.165161802039105,0.413150978455204,0.679496001568347,0.923891426028752,FALSE
"ENSG00000155366",447.2038233481,0.369524852987981,0.248737544992903,1.48560143181652,0.137384576107526,0.560833896777956,FALSE
"ENSG00000155367",8.69456836692648,-0.346186332891487,0.272344022710964,-1.27113615142158,0.203680216213859,0.649500885223475,FALSE
"ENSG00000155368",3893.91128432382,0.1353422320732,0.119986350602891,1.1279802360281,0.25932826602618,0.70270091918509,FALSE
"ENSG00000155380",1604.37125594523,0.0500210829061594,0.132174711534866,0.378446696234813,0.705098784482259,0.932038868666873,FALSE
