"","SYMBOL","GENEID"
"311","HIST2H2AC","ENSG00000184260"
"312","TACSTD2","ENSG00000184292"
"313","IFITM2","ENSG00000185201"
"314","ZFP36L1","ENSG00000185650"
"315","LRRC70","ENSG00000186105"
"316","CYP4F3","ENSG00000186529"
"317","PRG2","ENSG00000186652"
"318","SPATA21","ENSG00000187144"
"319","H1FNT","ENSG00000187166"
"320","MT1X","ENSG00000187193"
"321","TMSB4XP8","ENSG00000187653"
"322","HEPACAM2","ENSG00000188175"
"323","HBA2","ENSG00000188536"
"324","LINC00994","ENSG00000189196"
"325","DRICH1","ENSG00000189269"
"326","OR7E12P","ENSG00000189398"
"327","USP32P3","ENSG00000189423"
"328","SIRPB2","ENSG00000196209"
"329","NTNG2","ENSG00000196358"
"330","FUT4","ENSG00000196371"
"331","ADAM32","ENSG00000197140"
"332","IL27","ENSG00000197272"
"333","DACT3","ENSG00000197380"
"334","C5AR1","ENSG00000197405"
"335","SGTB","ENSG00000197860"
"336","FCGR1B","ENSG00000198019"
"337","SIRPA","ENSG00000198053"
"338","RP11-231C14.7","ENSG00000198106"
"339","CACNA1E","ENSG00000198216"
"340","CSF2RA","ENSG00000198223"
"341","DCAF12L2","ENSG00000198354"
"342","MMP17","ENSG00000198598"
"343","MT-CO2","ENSG00000198712"
"344","MT-CYB","ENSG00000198727"
"345","F5","ENSG00000198734"
"346","MSRB1","ENSG00000198736"
"347","MT-ND2","ENSG00000198763"
"348","MT-ATP6","ENSG00000198899"
"349","MT-CO3","ENSG00000198938"
"350","RNU5E-4P","ENSG00000201801"
"351","AC015969.3","ENSG00000203395"
"352","LINC01270","ENSG00000203999"
"353","IFIT1B","ENSG00000204010"
"354","HSPA1A","ENSG00000204389"
"355","AIF1","ENSG00000204472"
"356","LST1","ENSG00000204482"
"357","FAM153C","ENSG00000204677"
"358","DOK6","ENSG00000206052"
"359","HBA1","ENSG00000206172"
"360","HBM","ENSG00000206177"
"361","RNVU1-7","ENSG00000206585"
"362","RNU1-73P","ENSG00000206698"
"363","RNVU1-18","ENSG00000206737"
"364","RNVU1-15","ENSG00000207205"
"365","MT-RNR1","ENSG00000211459"
"366","MIR320E","ENSG00000211513"
"367","IGKJ3","ENSG00000211595"
"368","IGLV4-60","ENSG00000211639"
"369","IGLV7-46","ENSG00000211649"
"370","IGLV3-9","ENSG00000211670"
"371","IGHE","ENSG00000211891"
"372","IGHV4-34","ENSG00000211956"
"373","SNORD70","ENSG00000212534"
"374","LINC00671","ENSG00000213373"
"375","C19orf38","ENSG00000214212"
"376","RP3-425P12.4","ENSG00000219682"
"377","RP3-431A14.4","ENSG00000220349"
"378","IGLV9-49","ENSG00000223350"
"379","TMSB4XP4","ENSG00000223551"
"380","EBLN1","ENSG00000223601"
"381","HBD","ENSG00000223609"
"382","LINC01208","ENSG00000223715"
"383","TSSC2","ENSG00000223756"
"384","RP11-197K6.1","ENSG00000223812"
"385","USF1P1","ENSG00000226501"
"386","ITGB2-AS1","ENSG00000227039"
"387","RP1-35C21.2","ENSG00000227579"
"388","HLA-U","ENSG00000228078"
"389","EEF1A1P11","ENSG00000228502"
"390","AC090954.5","ENSG00000228874"
"391","MICD","ENSG00000229390"
"392","RP11-217B7.3","ENSG00000230013"
"393","RP11-117D22.2","ENSG00000230138"
"394","FEZF1-AS1","ENSG00000230316"
"395","RP11-325P15.2","ENSG00000230832"
"396","CTC-490G23.2","ENSG00000231412"
"397","MTHFD1P1","ENSG00000231831"
"398","CLCN3P1","ENSG00000232000"
"399","AC073464.7","ENSG00000232502"
"400","RP4-673D20.3","ENSG00000232528"
"401","AC104809.4","ENSG00000233392"
"402","RPL31P47","ENSG00000233541"
"403","RP11-395L14.3","ENSG00000234148"
"404","RP11-797H7.1","ENSG00000234338"
"405","AC007278.3","ENSG00000234389"
"406","LINC01506","ENSG00000234506"
"407","RP11-382H24.2","ENSG00000234586"
"408","U91328.2","ENSG00000234816"
"409","SHISA8","ENSG00000234965"
"410","RP11-80H5.9","ENSG00000235100"
"411","SNX18P14","ENSG00000235571"
"412","RP11-62C3.6","ENSG00000236115"
"413","RP11-525G13.2","ENSG00000236364"
"414","BZW1P1","ENSG00000236686"
"415","RP11-443B7.1","ENSG00000238005"
"416","ZEB2-AS1","ENSG00000238057"
"417","LILRA2","ENSG00000239998"
"418","RP11-64C1.1","ENSG00000240708"
"419","RPS26P43","ENSG00000244641"
"420","HBB","ENSG00000244734"
"421","LINC00861","ENSG00000245164"
"422","RP11-13A1.1","ENSG00000246363"
"423","RP11-148L24.1","ENSG00000248174"
"424","WHAMMP2","ENSG00000248334"
"425","MTATP6P1","ENSG00000248527"
"426","GDNF-AS1","ENSG00000248587"
